jjSASKSQSJ	(2) royal straight flush!
SASKCKDADJ	(7) 2 pairs
SASKCKDKDQ	(6) 3 cards
SASKCKDKDJ	(6) 3 cards
SASKCKDQDJ	(8) 1 pair
SASKCQCJDA	(8) 1 pair
SASKCQCJDK	(8) 1 pair
SASKCQCJDQ	(8) 1 pair
SASKCQCJDJ	(8) 1 pair
SASKCQDADK	(7) 2 pairs
SASKCQDADQ	(7) 2 pairs
SASKCQDADJ	(8) 1 pair
SASKCQDKDQ	(7) 2 pairs
SASKCQDKDJ	(8) 1 pair
SASKCQDQDJ	(8) 1 pair
SASKCJDADK	(7) 2 pairs
SASKCJDADQ	(8) 1 pair
SASKCJDADJ	(7) 2 pairs
SASKCJDKDQ	(8) 1 pair
SASKCJDKDJ	(7) 2 pairs
SASKCJDQDJ	(8) 1 pair
SASKDADKDQ	(7) 2 pairs
SASKDADKDJ	(7) 2 pairs
SASKDADQDJ	(8) 1 pair
SASKDKDQDJ	(8) 1 pair
SASQSJHAHK	(8) 1 pair
SASQSJHAHQ	(7) 2 pairs
SASQSJHAHJ	(7) 2 pairs
SASQSJHACA	(6) 3 cards
SASQSJHACK	(8) 1 pair
SASQSJHACQ	(7) 2 pairs
SASQSJHACJ	(7) 2 pairs
SASQSJHADA	(6) 3 cards
SASQSJHADK	(8) 1 pair
SASQSJHADQ	(7) 2 pairs
SASQSJHADJ	(7) 2 pairs
SASQSJHKHQ	(8) 1 pair
SASQSJHKHJ	(8) 1 pair
SASQSJHKCA	(8) 1 pair
SASQSJHKCK	(8) 1 pair
SASQSJHKCQ	(8) 1 pair
SASQSJHKCJ	(8) 1 pair
SASQSJHKDA	(8) 1 pair
SASQSJHKDK	(8) 1 pair
SASQSJHKDQ	(8) 1 pair
SASQSJHKDJ	(8) 1 pair
SASQSJHQHJ	(7) 2 pairs
SASQSJHQCA	(7) 2 pairs
SASQSJHQCK	(8) 1 pair
SASQSJHQCQ	(6) 3 cards
SASQSJHQCJ	(7) 2 pairs
SASQSJHQDA	(7) 2 pairs
SASQSJHQDK	(8) 1 pair
SASQSJHQDQ	(6) 3 cards
SASQSJHQDJ	(7) 2 pairs
SASQSJHJCA	(7) 2 pairs
SASQSJHJCK	(8) 1 pair
SASQSJHJCQ	(7) 2 pairs
SASQSJHJCJ	(6) 3 cards
SASQSJHJDA	(7) 2 pairs
SASQSJHJDK	(8) 1 pair
SASQSJHJDQ	(7) 2 pairs
SASQSJHJDJ	(6) 3 cards
SASQSJCACK	(8) 1 pair
SASQSJCACQ	(7) 2 pairs
SASQSJCACJ	(7) 2 pairs
SASQSJCADA	(6) 3 cards
SASQSJCADK	(8) 1 pair
SASQSJCADQ	(7) 2 pairs
SASQSJCADJ	(7) 2 pairs
SASQSJCKCQ	(8) 1 pair
SASQSJCKCJ	(8) 1 pair
SASQSJCKDA	(8) 1 pair
SASQSJCKDK	(8) 1 pair
SASQSJCKDQ	(8) 1 pair
SASQSJCKDJ	(8) 1 pair
SASQSJCQCJ	(7) 2 pairs
SASQSJCQDA	(7) 2 pairs
SASQSJCQDK	(8) 1 pair
SASQSJCQDQ	(6) 3 cards
SASQSJCQDJ	(7) 2 pairs
SASQSJCJDA	(7) 2 pairs
SASQSJCJDK	(8) 1 pair
SASQSJCJDQ	(7) 2 pairs
SASQSJCJDJ	(6) 3 cards
SASQSJDADK	(8) 1 pair
SASQSJDADQ	(7) 2 pairs
SASQSJDADJ	(7) 2 pairs
SASQSJDKDQ	(8) 1 pair
SASQSJDKDJ	(8) 1 pair
SASQSJDQDJ	(7) 2 pairs
SASQHAHKHQ	(7) 2 pairs
SASQHAHKHJ	(8) 1 pair
SASQHAHKCA	(6) 3 cards
SASQHAHKCK	(7) 2 pairs
SASQHAHKCQ	(7) 2 pairs
SASQHAHKCJ	(8) 1 pair
SASQHAHKDA	(6) 3 cards
SASQHAHKDK	(7) 2 pairs
SASQHAHKDQ	(7) 2 pairs
SASQHAHKDJ	(8) 1 pair
SASQHAHQHJ	(7) 2 pairs
SASQHAHQCA	(4) full house
SASQHAHQCK	(7) 2 pairs
SASQHAHQCQ	(4) full house
SASQHAHQCJ	(7) 2 pairs
SASQHAHQDA	(4) full house
SASQHAHQDK	(7) 2 pairs
SASQHAHQDQ	(4) full house
SASQHAHQDJ	(7) 2 pairs
SASQHAHJCA	(6) 3 cards
SASQHAHJCK	(8) 1 pair
SASQHAHJCQ	(7) 2 pairs
SASQHAHJCJ	(7) 2 pairs
SASQHAHJDA	(6) 3 cards
SASQHAHJDK	(8) 1 pair
SASQHAHJDQ	(7) 2 pairs
SASQHAHJDJ	(7) 2 pairs
SASQHACACK	(6) 3 cards
SASQHACACQ	(4) full house
SASQHACACJ	(6) 3 cards
SASQHACADA	(3) 4 cards!
SASQHACADK	(6) 3 cards
SASQHACADQ	(4) full house
SASQHACADJ	(6) 3 cards
SASQHACKCQ	(7) 2 pairs
SASQHACKCJ	(8) 1 pair
SASQHACKDA	(6) 3 cards
SASQHACKDK	(7) 2 pairs
SASQHACKDQ	(7) 2 pairs
SASQHACKDJ	(8) 1 pair
SASQHACQCJ	(7) 2 pairs
SASQHACQDA	(4) full house
SASQHACQDK	(7) 2 pairs
SASQHACQDQ	(4) full house
SASQHACQDJ	(7) 2 pairs
SASQHACJDA	(6) 3 cards
SASQHACJDK	(8) 1 pair
SASQHACJDQ	(7) 2 pairs
SASQHACJDJ	(7) 2 pairs
SASQHADADK	(6) 3 cards
SASQHADADQ	(4) full house
SASQHADADJ	(6) 3 cards
SASQHADKDQ	(7) 2 pairs
SASQHADKDJ	(8) 1 pair
SASQHADQDJ	(7) 2 pairs
SASQHKHQHJ	(8) 1 pair
SASQHKHQCA	(7) 2 pairs
SASQHKHQCK	(7) 2 pairs
SASQHKHQCQ	(6) 3 cards
SASQHKHQCJ	(8) 1 pair
SASQHKHQDA	(7) 2 pairs
SASQHKHQDK	(7) 2 pairs
SASQHKHQDQ	(6) 3 cards
SASQHKHQDJ	(8) 1 pair
SASQHKHJCA	(8) 1 pair
SASQHKHJCK	(8) 1 pair
SASQHKHJCQ	(8) 1 pair
SASQHKHJCJ	(8) 1 pair
SASQHKHJDA	(8) 1 pair
SASQHKHJDK	(8) 1 pair
SASQHKHJDQ	(8) 1 pair
SASQHKHJDJ	(8) 1 pair
SASQHKCACK	(7) 2 pairs
SASQHKCACQ	(7) 2 pairs
SASQHKCACJ	(8) 1 pair
SASQHKCADA	(6) 3 cards
SASQHKCADK	(7) 2 pairs
SASQHKCADQ	(7) 2 pairs
SASQHKCADJ	(8) 1 pair
SASQHKCKCQ	(7) 2 pairs
SASQHKCKCJ	(8) 1 pair
SASQHKCKDA	(7) 2 pairs
SASQHKCKDK	(6) 3 cards
SASQHKCKDQ	(7) 2 pairs
SASQHKCKDJ	(8) 1 pair
SASQHKCQCJ	(8) 1 pair
SASQHKCQDA	(7) 2 pairs
SASQHKCQDK	(7) 2 pairs
SASQHKCQDQ	(6) 3 cards
SASQHKCQDJ	(8) 1 pair
SASQHKCJDA	(8) 1 pair
SASQHKCJDK	(8) 1 pair
SASQHKCJDQ	(8) 1 pair
SASQHKCJDJ	(8) 1 pair
SASQHKDADK	(7) 2 pairs
SASQHKDADQ	(7) 2 pairs
SASQHKDADJ	(8) 1 pair
SASQHKDKDQ	(7) 2 pairs
SASQHKDKDJ	(8) 1 pair
SASQHKDQDJ	(8) 1 pair
SASQHQHJCA	(7) 2 pairs
SASQHQHJCK	(8) 1 pair
SASQHQHJCQ	(6) 3 cards
SASQHQHJCJ	(7) 2 pairs
SASQHQHJDA	(7) 2 pairs
SASQHQHJDK	(8) 1 pair
SASQHQHJDQ	(6) 3 cards
SASQHQHJDJ	(7) 2 pairs
SASQHQCACK	(7) 2 pairs
SASQHQCACQ	(4) full house
SASQHQCACJ	(7) 2 pairs
SASQHQCADA	(4) full house
SASQHQCADK	(7) 2 pairs
SASQHQCADQ	(4) full house
SASQHQCADJ	(7) 2 pairs
SASQHQCKCQ	(6) 3 cards
SASQHQCKCJ	(8) 1 pair
SASQHQCKDA	(7) 2 pairs
SASQHQCKDK	(7) 2 pairs
SASQHQCKDQ	(6) 3 cards
SASQHQCKDJ	(8) 1 pair
SASQHQCQCJ	(6) 3 cards
SASQHQCQDA	(4) full house
SASQHQCQDK	(6) 3 cards
SASQHQCQDQ	(3) 4 cards!
SASQHQCQDJ	(6) 3 cards
SASQHQCJDA	(7) 2 pairs
SASQHQCJDK	(8) 1 pair
SASQHQCJDQ	(6) 3 cards
SASQHQCJDJ	(7) 2 pairs
SASQHQDADK	(7) 2 pairs
SASQHQDADQ	(4) full house
SASQHQDADJ	(7) 2 pairs
SASQHQDKDQ	(6) 3 cards
SASQHQDKDJ	(8) 1 pair
SASQHQDQDJ	(6) 3 cards
SASQHJCACK	(8) 1 pair
SASQHJCACQ	(7) 2 pairs
SASQHJCACJ	(7) 2 pairs
SASQHJCADA	(6) 3 cards
SASQHJCADK	(8) 1 pair
SASQHJCADQ	(7) 2 pairs
SASQHJCADJ	(7) 2 pairs
SASQHJCKCQ	(8) 1 pair
SASQHJCKCJ	(8) 1 pair
SASQHJCKDA	(8) 1 pair
SASQHJCKDK	(8) 1 pair
SASQHJCKDQ	(8) 1 pair
SASQHJCKDJ	(8) 1 pair
SASQHJCQCJ	(7) 2 pairs
SASQHJCQDA	(7) 2 pairs
SASQHJCQDK	(8) 1 pair
SASQHJCQDQ	(6) 3 cards
SASQHJCQDJ	(7) 2 pairs
SASQHJCJDA	(7) 2 pairs
SASQHJCJDK	(8) 1 pair
SASQHJCJDQ	(7) 2 pairs
SASQHJCJDJ	(6) 3 cards
SASQHJDADK	(8) 1 pair
SASQHJDADQ	(7) 2 pairs
SASQHJDADJ	(7) 2 pairs
SASQHJDKDQ	(8) 1 pair
SASQHJDKDJ	(8) 1 pair
SASQHJDQDJ	(7) 2 pairs
SASQCACKCQ	(7) 2 pairs
SASQCACKCJ	(8) 1 pair
SASQCACKDA	(6) 3 cards
SASQCACKDK	(7) 2 pairs
SASQCACKDQ	(7) 2 pairs
SASQCACKDJ	(8) 1 pair
SASQCACQCJ	(7) 2 pairs
SASQCACQDA	(4) full house
SASQCACQDK	(7) 2 pairs
SASQCACQDQ	(4) full house
SASQCACQDJ	(7) 2 pairs
SASQCACJDA	(6) 3 cards
SASQCACJDK	(8) 1 pair
SASQCACJDQ	(7) 2 pairs
SASQCACJDJ	(7) 2 pairs
SASQCADADK	(6) 3 cards
SASQCADADQ	(4) full house
SASQCADADJ	(6) 3 cards
SASQCADKDQ	(7) 2 pairs
SASQCADKDJ	(8) 1 pair
SASQCADQDJ	(7) 2 pairs
SASQCKCQCJ	(8) 1 pair
SASQCKCQDA	(7) 2 pairs
SASQCKCQDK	(7) 2 pairs
SASQCKCQDQ	(6) 3 cards
SASQCKCQDJ	(8) 1 pair
SASQCKCJDA	(8) 1 pair
SASQCKCJDK	(8) 1 pair
SASQCKCJDQ	(8) 1 pair
SASQCKCJDJ	(8) 1 pair
SASQCKDADK	(7) 2 pairs
SASQCKDADQ	(7) 2 pairs
SASQCKDADJ	(8) 1 pair
SASQCKDKDQ	(7) 2 pairs
SASQCKDKDJ	(8) 1 pair
SASQCKDQDJ	(8) 1 pair
SASQCQCJDA	(7) 2 pairs
SASQCQCJDK	(8) 1 pair
SASQCQCJDQ	(6) 3 cards
SASQCQCJDJ	(7) 2 pairs
SASQCQDADK	(7) 2 pairs
SASQCQDADQ	(4) full house
SASQCQDADJ	(7) 2 pairs
SASQCQDKDQ	(6) 3 cards
SASQCQDKDJ	(8) 1 pair
SASQCQDQDJ	(6) 3 cards
SASQCJDADK	(8) 1 pair
SASQCJDADQ	(7) 2 pairs
SASQCJDADJ	(7) 2 pairs
SASQCJDKDQ	(8) 1 pair
SASQCJDKDJ	(8) 1 pair
SASQCJDQDJ	(7) 2 pairs
SASQDADKDQ	(7) 2 pairs
SASQDADKDJ	(8) 1 pair
SASQDADQDJ	(7) 2 pairs
SASQDKDQDJ	(8) 1 pair
SASJHAHKHQ	(8) 1 pair
SASJHAHKHJ	(7) 2 pairs
SASJHAHKCA	(6) 3 cards
SASJHAHKCK	(7) 2 pairs
SASJHAHKCQ	(8) 1 pair
SASJHAHKCJ	(7) 2 pairs
SASJHAHKDA	(6) 3 cards
SASJHAHKDK	(7) 2 pairs
SASJHAHKDQ	(8) 1 pair
SASJHAHKDJ	(7) 2 pairs
SASJHAHQHJ	(7) 2 pairs
SASJHAHQCA	(6) 3 cards
SASJHAHQCK	(8) 1 pair
SASJHAHQCQ	(7) 2 pairs
SASJHAHQCJ	(7) 2 pairs
SASJHAHQDA	(6) 3 cards
SASJHAHQDK	(8) 1 pair
SASJHAHQDQ	(7) 2 pairs
SASJHAHQDJ	(7) 2 pairs
SASJHAHJCA	(4) full house
SASJHAHJCK	(7) 2 pairs
SASJHAHJCQ	(7) 2 pairs
SASJHAHJCJ	(4) full house
SASJHAHJDA	(4) full house
SASJHAHJDK	(7) 2 pairs
SASJHAHJDQ	(7) 2 pairs
SASJHAHJDJ	(4) full house
SASJHACACK	(6) 3 cards
SASJHACACQ	(6) 3 cards
SASJHACACJ	(4) full house
SASJHACADA	(3) 4 cards!
SASJHACADK	(6) 3 cards
SASJHACADQ	(6) 3 cards
SASJHACADJ	(4) full house
SASJHACKCQ	(8) 1 pair
SASJHACKCJ	(7) 2 pairs
SASJHACKDA	(6) 3 cards
SASJHACKDK	(7) 2 pairs
SASJHACKDQ	(8) 1 pair
SASJHACKDJ	(7) 2 pairs
SASJHACQCJ	(7) 2 pairs
SASJHACQDA	(6) 3 cards
SASJHACQDK	(8) 1 pair
SASJHACQDQ	(7) 2 pairs
SASJHACQDJ	(7) 2 pairs
SASJHACJDA	(4) full house
SASJHACJDK	(7) 2 pairs
SASJHACJDQ	(7) 2 pairs
SASJHACJDJ	(4) full house
SASJHADADK	(6) 3 cards
SASJHADADQ	(6) 3 cards
SASJHADADJ	(4) full house
SASJHADKDQ	(8) 1 pair
SASJHADKDJ	(7) 2 pairs
SASJHADQDJ	(7) 2 pairs
SASJHKHQHJ	(8) 1 pair
SASJHKHQCA	(8) 1 pair
SASJHKHQCK	(8) 1 pair
SASJHKHQCQ	(8) 1 pair
SASJHKHQCJ	(8) 1 pair
SASJHKHQDA	(8) 1 pair
SASJHKHQDK	(8) 1 pair
SASJHKHQDQ	(8) 1 pair
SASJHKHQDJ	(8) 1 pair
SASJHKHJCA	(7) 2 pairs
SASJHKHJCK	(7) 2 pairs
SASJHKHJCQ	(8) 1 pair
SASJHKHJCJ	(6) 3 cards
SASJHKHJDA	(7) 2 pairs
SASJHKHJDK	(7) 2 pairs
SASJHKHJDQ	(8) 1 pair
SASJHKHJDJ	(6) 3 cards
SASJHKCACK	(7) 2 pairs
SASJHKCACQ	(8) 1 pair
SASJHKCACJ	(7) 2 pairs
SASJHKCADA	(6) 3 cards
SASJHKCADK	(7) 2 pairs
SASJHKCADQ	(8) 1 pair
SASJHKCADJ	(7) 2 pairs
SASJHKCKCQ	(8) 1 pair
SASJHKCKCJ	(7) 2 pairs
SASJHKCKDA	(7) 2 pairs
SASJHKCKDK	(6) 3 cards
SASJHKCKDQ	(8) 1 pair
SASJHKCKDJ	(7) 2 pairs
SASJHKCQCJ	(8) 1 pair
SASJHKCQDA	(8) 1 pair
SASJHKCQDK	(8) 1 pair
SASJHKCQDQ	(8) 1 pair
SASJHKCQDJ	(8) 1 pair
SASJHKCJDA	(7) 2 pairs
SASJHKCJDK	(7) 2 pairs
SASJHKCJDQ	(8) 1 pair
SASJHKCJDJ	(6) 3 cards
SASJHKDADK	(7) 2 pairs
SASJHKDADQ	(8) 1 pair
SASJHKDADJ	(7) 2 pairs
SASJHKDKDQ	(8) 1 pair
SASJHKDKDJ	(7) 2 pairs
SASJHKDQDJ	(8) 1 pair
SASJHQHJCA	(7) 2 pairs
SASJHQHJCK	(8) 1 pair
SASJHQHJCQ	(7) 2 pairs
SASJHQHJCJ	(6) 3 cards
SASJHQHJDA	(7) 2 pairs
SASJHQHJDK	(8) 1 pair
SASJHQHJDQ	(7) 2 pairs
SASJHQHJDJ	(6) 3 cards
SASJHQCACK	(8) 1 pair
SASJHQCACQ	(7) 2 pairs
SASJHQCACJ	(7) 2 pairs
SASJHQCADA	(6) 3 cards
SASJHQCADK	(8) 1 pair
SASJHQCADQ	(7) 2 pairs
SASJHQCADJ	(7) 2 pairs
SASJHQCKCQ	(8) 1 pair
SASJHQCKCJ	(8) 1 pair
SASJHQCKDA	(8) 1 pair
SASJHQCKDK	(8) 1 pair
SASJHQCKDQ	(8) 1 pair
SASJHQCKDJ	(8) 1 pair
SASJHQCQCJ	(7) 2 pairs
SASJHQCQDA	(7) 2 pairs
SASJHQCQDK	(8) 1 pair
SASJHQCQDQ	(6) 3 cards
SASJHQCQDJ	(7) 2 pairs
SASJHQCJDA	(7) 2 pairs
SASJHQCJDK	(8) 1 pair
SASJHQCJDQ	(7) 2 pairs
SASJHQCJDJ	(6) 3 cards
SASJHQDADK	(8) 1 pair
SASJHQDADQ	(7) 2 pairs
SASJHQDADJ	(7) 2 pairs
SASJHQDKDQ	(8) 1 pair
SASJHQDKDJ	(8) 1 pair
SASJHQDQDJ	(7) 2 pairs
SASJHJCACK	(7) 2 pairs
SASJHJCACQ	(7) 2 pairs
SASJHJCACJ	(4) full house
SASJHJCADA	(4) full house
SASJHJCADK	(7) 2 pairs
SASJHJCADQ	(7) 2 pairs
SASJHJCADJ	(4) full house
SASJHJCKCQ	(8) 1 pair
SASJHJCKCJ	(6) 3 cards
SASJHJCKDA	(7) 2 pairs
SASJHJCKDK	(7) 2 pairs
SASJHJCKDQ	(8) 1 pair
SASJHJCKDJ	(6) 3 cards
SASJHJCQCJ	(6) 3 cards
SASJHJCQDA	(7) 2 pairs
SASJHJCQDK	(8) 1 pair
SASJHJCQDQ	(7) 2 pairs
SASJHJCQDJ	(6) 3 cards
SASJHJCJDA	(4) full house
SASJHJCJDK	(6) 3 cards
SASJHJCJDQ	(6) 3 cards
SASJHJCJDJ	(3) 4 cards!
SASJHJDADK	(7) 2 pairs
SASJHJDADQ	(7) 2 pairs
SASJHJDADJ	(4) full house
SASJHJDKDQ	(8) 1 pair
SASJHJDKDJ	(6) 3 cards
SASJHJDQDJ	(6) 3 cards
SASJCACKCQ	(8) 1 pair
SASJCACKCJ	(7) 2 pairs
SASJCACKDA	(6) 3 cards
SASJCACKDK	(7) 2 pairs
SASJCACKDQ	(8) 1 pair
SASJCACKDJ	(7) 2 pairs
SASJCACQCJ	(7) 2 pairs
SASJCACQDA	(6) 3 cards
SASJCACQDK	(8) 1 pair
SASJCACQDQ	(7) 2 pairs
SASJCACQDJ	(7) 2 pairs
SASJCACJDA	(4) full house
SASJCACJDK	(7) 2 pairs
SASJCACJDQ	(7) 2 pairs
SASJCACJDJ	(4) full house
SASJCADADK	(6) 3 cards
SASJCADADQ	(6) 3 cards
SASJCADADJ	(4) full house
SASJCADKDQ	(8) 1 pair
SASJCADKDJ	(7) 2 pairs
SASJCADQDJ	(7) 2 pairs
SASJCKCQCJ	(8) 1 pair
SASJCKCQDA	(8) 1 pair
SASJCKCQDK	(8) 1 pair
SASJCKCQDQ	(8) 1 pair
SASJCKCQDJ	(8) 1 pair
SASJCKCJDA	(7) 2 pairs
SASJCKCJDK	(7) 2 pairs
SASJCKCJDQ	(8) 1 pair
SASJCKCJDJ	(6) 3 cards
SASJCKDADK	(7) 2 pairs
SASJCKDADQ	(8) 1 pair
SASJCKDADJ	(7) 2 pairs
SASJCKDKDQ	(8) 1 pair
SASJCKDKDJ	(7) 2 pairs
SASJCKDQDJ	(8) 1 pair
SASJCQCJDA	(7) 2 pairs
SASJCQCJDK	(8) 1 pair
SASJCQCJDQ	(7) 2 pairs
SASJCQCJDJ	(6) 3 cards
SASJCQDADK	(8) 1 pair
SASJCQDADQ	(7) 2 pairs
SASJCQDADJ	(7) 2 pairs
SASJCQDKDQ	(8) 1 pair
SASJCQDKDJ	(8) 1 pair
SASJCQDQDJ	(7) 2 pairs
SASJCJDADK	(7) 2 pairs
SASJCJDADQ	(7) 2 pairs
SASJCJDADJ	(4) full house
SASJCJDKDQ	(8) 1 pair
SASJCJDKDJ	(6) 3 cards
SASJCJDQDJ	(6) 3 cards
SASJDADKDQ	(8) 1 pair
SASJDADKDJ	(7) 2 pairs
SASJDADQDJ	(7) 2 pairs
SASJDKDQDJ	(8) 1 pair
SAHAHKHQHJ	(8) 1 pair
SAHAHKHQCA	(6) 3 cards
SAHAHKHQCK	(7) 2 pairs
SAHAHKHQCQ	(7) 2 pairs
SAHAHKHQCJ	(8) 1 pair
SAHAHKHQDA	(6) 3 cards
SAHAHKHQDK	(7) 2 pairs
SAHAHKHQDQ	(7) 2 pairs
SAHAHKHQDJ	(8) 1 pair
SAHAHKHJCA	(6) 3 cards
SAHAHKHJCK	(7) 2 pairs
SAHAHKHJCQ	(8) 1 pair
SAHAHKHJCJ	(7) 2 pairs
SAHAHKHJDA	(6) 3 cards
SAHAHKHJDK	(7) 2 pairs
SAHAHKHJDQ	(8) 1 pair
SAHAHKHJDJ	(7) 2 pairs
SAHAHKCACK	(4) full house
SAHAHKCACQ	(6) 3 cards
SAHAHKCACJ	(6) 3 cards
SAHAHKCADA	(3) 4 cards!
SAHAHKCADK	(4) full house
SAHAHKCADQ	(6) 3 cards
SAHAHKCADJ	(6) 3 cards
SAHAHKCKCQ	(7) 2 pairs
SAHAHKCKCJ	(7) 2 pairs
SAHAHKCKDA	(4) full house
SAHAHKCKDK	(4) full house
SAHAHKCKDQ	(7) 2 pairs
SAHAHKCKDJ	(7) 2 pairs
SAHAHKCQCJ	(8) 1 pair
SAHAHKCQDA	(6) 3 cards
SAHAHKCQDK	(7) 2 pairs
SAHAHKCQDQ	(7) 2 pairs
SAHAHKCQDJ	(8) 1 pair
SAHAHKCJDA	(6) 3 cards
SAHAHKCJDK	(7) 2 pairs
SAHAHKCJDQ	(8) 1 pair
SAHAHKCJDJ	(7) 2 pairs
SAHAHKDADK	(4) full house
SAHAHKDADQ	(6) 3 cards
SAHAHKDADJ	(6) 3 cards
SAHAHKDKDQ	(7) 2 pairs
SAHAHKDKDJ	(7) 2 pairs
SAHAHKDQDJ	(8) 1 pair
SAHAHQHJCA	(6) 3 cards
SAHAHQHJCK	(8) 1 pair
SAHAHQHJCQ	(7) 2 pairs
SAHAHQHJCJ	(7) 2 pairs
SAHAHQHJDA	(6) 3 cards
SAHAHQHJDK	(8) 1 pair
SAHAHQHJDQ	(7) 2 pairs
SAHAHQHJDJ	(7) 2 pairs
SAHAHQCACK	(6) 3 cards
SAHAHQCACQ	(4) full house
SAHAHQCACJ	(6) 3 cards
SAHAHQCADA	(3) 4 cards!
SAHAHQCADK	(6) 3 cards
SAHAHQCADQ	(4) full house
SAHAHQCADJ	(6) 3 cards
SAHAHQCKCQ	(7) 2 pairs
SAHAHQCKCJ	(8) 1 pair
SAHAHQCKDA	(6) 3 cards
SAHAHQCKDK	(7) 2 pairs
SAHAHQCKDQ	(7) 2 pairs
SAHAHQCKDJ	(8) 1 pair
SAHAHQCQCJ	(7) 2 pairs
SAHAHQCQDA	(4) full house
SAHAHQCQDK	(7) 2 pairs
SAHAHQCQDQ	(4) full house
SAHAHQCQDJ	(7) 2 pairs
SAHAHQCJDA	(6) 3 cards
SAHAHQCJDK	(8) 1 pair
SAHAHQCJDQ	(7) 2 pairs
SAHAHQCJDJ	(7) 2 pairs
SAHAHQDADK	(6) 3 cards
SAHAHQDADQ	(4) full house
SAHAHQDADJ	(6) 3 cards
SAHAHQDKDQ	(7) 2 pairs
SAHAHQDKDJ	(8) 1 pair
SAHAHQDQDJ	(7) 2 pairs
SAHAHJCACK	(6) 3 cards
SAHAHJCACQ	(6) 3 cards
SAHAHJCACJ	(4) full house
SAHAHJCADA	(3) 4 cards!
SAHAHJCADK	(6) 3 cards
SAHAHJCADQ	(6) 3 cards
SAHAHJCADJ	(4) full house
SAHAHJCKCQ	(8) 1 pair
SAHAHJCKCJ	(7) 2 pairs
SAHAHJCKDA	(6) 3 cards
SAHAHJCKDK	(7) 2 pairs
SAHAHJCKDQ	(8) 1 pair
SAHAHJCKDJ	(7) 2 pairs
SAHAHJCQCJ	(7) 2 pairs
SAHAHJCQDA	(6) 3 cards
SAHAHJCQDK	(8) 1 pair
SAHAHJCQDQ	(7) 2 pairs
SAHAHJCQDJ	(7) 2 pairs
SAHAHJCJDA	(4) full house
SAHAHJCJDK	(7) 2 pairs
SAHAHJCJDQ	(7) 2 pairs
SAHAHJCJDJ	(4) full house
SAHAHJDADK	(6) 3 cards
SAHAHJDADQ	(6) 3 cards
SAHAHJDADJ	(4) full house
SAHAHJDKDQ	(8) 1 pair
SAHAHJDKDJ	(7) 2 pairs
SAHAHJDQDJ	(7) 2 pairs
SAHACACKCQ	(6) 3 cards
SAHACACKCJ	(6) 3 cards
SAHACACKDA	(3) 4 cards!
SAHACACKDK	(4) full house
SAHACACKDQ	(6) 3 cards
SAHACACKDJ	(6) 3 cards
SAHACACQCJ	(6) 3 cards
SAHACACQDA	(3) 4 cards!
SAHACACQDK	(6) 3 cards
SAHACACQDQ	(4) full house
SAHACACQDJ	(6) 3 cards
SAHACACJDA	(3) 4 cards!
SAHACACJDK	(6) 3 cards
SAHACACJDQ	(6) 3 cards
SAHACACJDJ	(4) full house
SAHACADADK	(3) 4 cards!
SAHACADADQ	(3) 4 cards!
SAHACADADJ	(3) 4 cards!
SAHACADKDQ	(6) 3 cards
SAHACADKDJ	(6) 3 cards
SAHACADQDJ	(6) 3 cards
SAHACKCQCJ	(8) 1 pair
SAHACKCQDA	(6) 3 cards
SAHACKCQDK	(7) 2 pairs
SAHACKCQDQ	(7) 2 pairs
SAHACKCQDJ	(8) 1 pair
SAHACKCJDA	(6) 3 cards
SAHACKCJDK	(7) 2 pairs
SAHACKCJDQ	(8) 1 pair
SAHACKCJDJ	(7) 2 pairs
SAHACKDADK	(4) full house
SAHACKDADQ	(6) 3 cards
SAHACKDADJ	(6) 3 cards
SAHACKDKDQ	(7) 2 pairs
SAHACKDKDJ	(7) 2 pairs
SAHACKDQDJ	(8) 1 pair
SAHACQCJDA	(6) 3 cards
SAHACQCJDK	(8) 1 pair
SAHACQCJDQ	(7) 2 pairs
SAHACQCJDJ	(7) 2 pairs
SAHACQDADK	(6) 3 cards
SAHACQDADQ	(4) full house
SAHACQDADJ	(6) 3 cards
SAHACQDKDQ	(7) 2 pairs
SAHACQDKDJ	(8) 1 pair
SAHACQDQDJ	(7) 2 pairs
SAHACJDADK	(6) 3 cards
SAHACJDADQ	(6) 3 cards
SAHACJDADJ	(4) full house
SAHACJDKDQ	(8) 1 pair
SAHACJDKDJ	(7) 2 pairs
SAHACJDQDJ	(7) 2 pairs
SAHADADKDQ	(6) 3 cards
SAHADADKDJ	(6) 3 cards
SAHADADQDJ	(6) 3 cards
SAHADKDQDJ	(8) 1 pair
SAHKHQHJCA	(8) 1 pair
SAHKHQHJCK	(8) 1 pair
SAHKHQHJCQ	(8) 1 pair
SAHKHQHJCJ	(8) 1 pair
SAHKHQHJDA	(8) 1 pair
SAHKHQHJDK	(8) 1 pair
SAHKHQHJDQ	(8) 1 pair
SAHKHQHJDJ	(8) 1 pair
SAHKHQCACK	(7) 2 pairs
SAHKHQCACQ	(7) 2 pairs
SAHKHQCACJ	(8) 1 pair
SAHKHQCADA	(6) 3 cards
SAHKHQCADK	(7) 2 pairs
SAHKHQCADQ	(7) 2 pairs
SAHKHQCADJ	(8) 1 pair
SAHKHQCKCQ	(7) 2 pairs
SAHKHQCKCJ	(8) 1 pair
SAHKHQCKDA	(7) 2 pairs
SAHKHQCKDK	(6) 3 cards
